profession	learnSkill	name	spellId	recipeItemId	band	sourceKind	npcName	zone	x	y	faction	bossDrop	worldDrop	trainerTitle	mobLevel	notes
alchemy	15	Elixir of Minor Spirit	1250793	250380	forever	drop	Gnarlpine Gardener | Kul Tiras Sailor	Teldrassil | Durotar								foreverchanges, letto da wowhead
alchemy	25	Minor Mageblood Elixir	1250788	250375	forever	drop	Young Wendigo	Dun Morogh							5-6	foreverchanges, letto da wowhead
alchemy	30	Minor Mender's Potion	1251741	250988	forever	drop	Gnarlpine Mystic	Teldrassil							6-7	foreverchanges, letto da wowhead
alchemy	35	Minor Spellblasting Potion	1251729	250976	forever	drop	Kobold Geomancer	Elwynn Forest							7-8	foreverchanges, letto da wowhead
alchemy	40	Minor Frenzy Potion	1251735	250982	forever	drop	Windfury Wind Witch | Bloodfeather Harpy	Mulgore | Teldrassil								foreverchanges, letto da wowhead
alchemy	45	Minor Cleric's Elixir	1250779	250366	forever	drop	Vile Fin Attacker | Murloc Forager | Vile Fin Muckdweller	Tirisfal Glades | Elwynn Forest | Tirisfal Glades								foreverchanges, letto da wowhead
alchemy	65	Elixir of Lesser Spirit	1250794	250381	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	75	Lesser Mageblood Elixir	1250789	250376	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	80	Lesser Mender's Potion	1251742	250989	forever	drop	Theramore Preserver | Stormscale Siren	The Barrens | Darkshore								foreverchanges, letto da wowhead
alchemy	85	Lesser Spellblasting Potion	1251730	250977	forever	drop	Witchwing Windcaller	The Barrens							17-18	foreverchanges, letto da wowhead
alchemy	90	Lesser Frenzy Potion	1251736	250983	forever	drop	Raging Rot Hide	Silverpine Forest							18-19	foreverchanges, letto da wowhead
alchemy	95	Elixir of Lesser Intellect	1250801	250388	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	95	Lesser Cleric's Elixir	1250780	250367	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	115	Elixir of Spirit	1250795	250382	forever											
alchemy	120	Lesser Arcane Elixir	1250791	250378	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	130	Mender's Potion	1251743	250990	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	135	Elixir of Intellect	1250802	250389	forever											
alchemy	135	Spellblasting Potion	1251731	250978	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	140	Fermenter	1263005	273085	forever	blueprint										Blueprint [foreverchanges 2026-09-24]
alchemy	140	Frenzy Potion	1251737	250984	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	145	Cleric's Elixir	1250781	250368	forever											
alchemy	150	Elixir of Fortitude	1250783	250370	forever											
alchemy	150	Elixir of Strength	1250798	250385	forever											
alchemy	165	Elixir of Greater Spirit	1250796	250383	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	175	Greater Mageblood Elixir	1250790	250377	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	180	Disorienting Smog Potion	1251750	250996	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	185	Greater Spellblasting Potion	1251732	250979	forever	vendor	Gorhak	Desolace								foreverchanges, letto da wowhead
alchemy	190	Greater Frenzy Potion	1251738	250985	forever	vendor	Gorhak	Desolace								foreverchanges, letto da wowhead
alchemy	195	Draught of Predatory Senses	1250776	250363	forever											
alchemy	195	Greater Cleric's Elixir	1250782	250369	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	200	Elixir of Greater Fortitude	1250784	250371	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	230	Superior Mender's Potion	1251745	250992	forever											ignota anche alla community [foreverchanges 2026-09-24]
alchemy	235	Superior Spellblasting Potion	1251733	250980	forever											ignota anche alla community [foreverchanges 2026-09-24]
alchemy	240	Superior Frenzy Potion	1251739	250986	forever											ignota anche alla community [foreverchanges 2026-09-24]
alchemy	245	Dragonfire Potion	1251751	250997	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	250	Distilled Firewater	1244421	236754	forever											
alchemy	250	Elixir of the Phalanx	1250778	250365	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	265	Caustic Smog Potion	1251749	250995	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	275	Elixir of Cunning	1250777	250364	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	275	Elixir of Ferocity	1250799	250386	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	275	Elixir of Sages	1250787	250374	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	275	Elixir of the Whale	1250797	250384	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	275	Potion of Venomous Blood	1251748	250994	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	275	Transmute: Legionite	1317279	284871	forever											
alchemy	280	Elixir of the Owl	1250786	250373	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	280	Major Mender's Potion	1251747	250993	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	280	Potion of Beast Culling	1251753	250999	forever											ignota anche alla community [foreverchanges 2026-09-24]
alchemy	280	Potion of Elemental Siphoning	1251752	250998	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	285	Elixir of Nature Power	1250792	250379	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	285	Elixir of Wicked Regeneration	1250785	250372	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	285	Major Spellblasting Potion	1251734	250981	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	290	Major Frenzy Potion	1251740	250987	forever	vendor	Nina Surefire | Apothecary Durelle	Three Corners, Redridge Mountains | The Barrens	10.9 | 49.9	72.5 | 29.6	alliance | horde					foreverchanges, letto da wowhead + catturato in gioco
alchemy	300	Alchemy Laboratory	1263078	273112	forever	blueprint										Blueprint [foreverchanges 2026-09-24]
