spellId	recipeItemId	name	sourceKind	npcName	zone	faction	worldDrop	notes
	11038	Formula: Enchant 2H Weapon - Lesser Spirit	drop	Lord Condar | Foreman Rigger | Lok Orcbane	Loch Modan | Stonetalon Mountains | The Barrens			foreverchanges, letto da ?
	11039	Formula: Enchant Cloak - Minor Agility	vendor	Dalria | Kulwia	Ashenvale | Stonetalon Mountains	alliance | horde		foreverchanges, letto da ?
	11081	Formula: Enchant Shield - Lesser Protection	drop	Lake Thresher | Apothecary Berard | Singe	Redridge Mountains | Silverpine Forest | Redridge Mountains			foreverchanges, letto da ?
	11098	Formula: Enchant Cloak - Lesser Shadow Resistance	drop	Sister Riven | Holdout Warrior | Captain Ironhill	Stonetalon Mountains | Dun Morogh | Hillsbrad Foothills			foreverchanges, letto da ?
	11101	Formula: Enchant Bracer - Lesser Strength	vendor	Dalria | Kulwia	Ashenvale | Stonetalon Mountains	alliance | horde		foreverchanges, letto da ?
	11150	Formula: Enchant Gloves - Mining	drop	Dark Iron Saboteur | Dark Iron Tunneler | Dark Iron Dwarf	Wetlands | Wetlands | Wetlands			foreverchanges, letto da ?
	11151	Formula: Enchant Gloves - Herbalism	drop	Blackened Ancient | Withered Ancient | Charred Ancient	Stonetalon Mountains | Ashenvale | Stonetalon Mountains			foreverchanges, letto da ?
	11152	Formula: Enchant Gloves - Fishing	drop	Torn Fin Muckdweller | Torn Fin Oracle | Torn Fin Tidehunter	Hillsbrad Foothills | Hillsbrad Foothills | Hillsbrad Foothills			foreverchanges, letto da ?
	11163	Formula: Enchant Bracer - Lesser Deflection	vendor	Keena | Micha Yance	Arathi Highlands | Hillsbrad Foothills	horde | alliance		foreverchanges, letto da ?
	11164	Formula: Enchant Weapon - Lesser Beastslayer	drop	Morbent Fel | Taneel Darkwood | Condemned Acolyte	Duskwood | Ashenvale | Hillsbrad Foothills			foreverchanges, letto da ?
	11165	Formula: Enchant Weapon - Lesser Elemental Slayer	drop	Noxious Flayer | Horde Grunt | Death's Head Cultist	Dustwallow Marsh | Ashenvale | The Barrens			foreverchanges, letto da ?
	11166	Formula: Enchant Gloves - Skinning	drop	Witherbark Headhunter | Witherbark Shadow Hunter | Zalas Witherbark	Arathi Highlands | Arathi Highlands | Arathi Highlands			foreverchanges, letto da ?
	11167	Formula: Enchant Boots - Lesser Spirit	drop	Ruul Onestone | Khan Shaka | Ambassador Malcin	Arathi Highlands | Desolace | The Barrens			foreverchanges, letto da ?
	11168	Formula: Enchant Shield - Lesser Block	drop	Bloodscalp Hunter | Boulderfist Shaman | Broken Tooth	Stranglethorn Vale | Arathi Highlands | Badlands			foreverchanges, letto da ?
	11202	Formula: Enchant Shield - Stamina	drop	Caretaker Alaric | Mosh'Ogg Lord | Timbermaw Warrior	Arathi Highlands | Stranglethorn Vale | Azshara			foreverchanges, letto da ?
	11203	Formula: Enchant Gloves - Advanced Mining	drop	Venture Co. Strip Miner	Stranglethorn Vale			foreverchanges, letto da ?
	11204	Formula: Enchant Bracer - Greater Spirit	drop	Deepstrider Searcher | Ambassador Malcin | Ironpatch	Desolace | The Barrens | Stranglethorn Vale			foreverchanges, letto da ?
	11205	Formula: Enchant Gloves - Advanced Herbalism	drop	Swampwalker | Molt Thorn | Swampwalker Elder	Swamp of Sorrows | Swamp of Sorrows | Swamp of Sorrows			foreverchanges, letto da ?
	11206	Formula: Enchant Cloak - Lesser Agility	drop	Syndicate Assassin | Wastewander Assassin	Alterac Mountains | Tanaris			foreverchanges, letto da ?
	11208	Formula: Enchant Weapon - Demonslaying	drop	Emerald Ooze | Mok'rash | Shore Strider	The Hinterlands | Stranglethorn Vale | Feralas			foreverchanges, letto da ?
	11223	Formula: Enchant Bracer - Deflection	vendor	Mythrin'dir | Banalash	Darnassus | Swamp of Sorrows	alliance | horde		foreverchanges, letto da ?
	11224	Formula: Enchant Shield - Frost Resistance	drop	Terrorspark | Stinglasher | Angerclaw Bear	Burning Steppes | Feralas | Felwood			foreverchanges, letto da ?
	11225	Formula: Enchant Bracer - Greater Stamina	drop	Enslaved Archaeologist | Death Howl | Scalebeard	Searing Gorge | Felwood | Azshara			foreverchanges, letto da ?
	11226	Formula: Enchant Gloves - Riding Skill	drop	Blazing Elemental | Bloodsail Swabby | Deadwind Brute	Searing Gorge | Stranglethorn Vale | Deadwind Pass			foreverchanges, letto da ?
	16214	Formula: Enchant Bracer - Greater Intellect	drop	Vilebranch Shadowcaster	The Hinterlands			foreverchanges, letto da ?
	16215	Formula: Enchant Boots - Greater Stamina	drop	Krellack | Stegodon | Manaclaw	Silithus | Un'Goro Crater | Winterspring			foreverchanges, letto da ?
	16217	Formula: Enchant Shield - Greater Stamina	vendor	Mythrin'dir | Daniel Bartlett	Darnassus | Tirisfal Glades	alliance | horde		foreverchanges, letto da ?
	16218	Formula: Enchant Bracer - Superior Spirit	drop	Hitah'ya the Keeper | Emerald Ooze | Gurubashi Warrior	Arathi Highlands | The Hinterlands | Stranglethorn Vale			foreverchanges, letto da ?
	16219	Formula: Enchant Gloves - Greater Agility	drop	Legashi Rogue	Azshara			foreverchanges, letto da ?
	16220	Formula: Enchant Boots - Spirit	drop	Hematos | Spellmaw | Alshirr Banebreath	Burning Steppes | Winterspring | Felwood			foreverchanges, letto da ?
	16221	Formula: Enchant Chest - Major Stamina	vendor	Qia	Winterspring			foreverchanges, letto da ?
	16222	Formula: Enchant Shield - Superior Spirit	drop	Scarlet Warder	Eastern Plaguelands			foreverchanges, letto da ?
	16223	Formula: Enchant Weapon - Icy Chill	drop	Anguished Highborne	Winterspring			foreverchanges, letto da ?
	16224	Formula: Enchant Cloak - Superior Defense	vendor	Lorelae Wintersong	Moonglade			foreverchanges, letto da ?
	16242	Formula: Enchant Chest - Major Intellect	drop	Scarlet Enchanter	Eastern Plaguelands			foreverchanges, letto da ?
	16245	Formula: Enchant Boots - Greater Agility	drop	Strashaz Hydra | Verdantine Boughguard | Teremus the Devourer	Dustwallow Marsh | The Hinterlands | Blasted Lands			foreverchanges, letto da ?
