recipeItemId	itemName	sourceKind	npcName	zone	x	y	faction
159	Refreshing Spring Water	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
2678	Mild Spices	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
2692	Hot Spices	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
3713	Soothing Spices	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
4470	Simple Wood	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
4471	Flint and Tinder	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
4536	Shiny Red Apple	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
10284	Simple Flour	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
11291	Star Wood	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
21099	Recipe: Smoked Sagefish	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
21219	Recipe: Sagefish Delight	vendor	Kalsey Sanden	Three Corners, Redridge Mountains	10.8	72.8	alliance
249476	Formula: Mystic Mushroom	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249477	Formula: Tenets of the Silver Hand	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249478	Formula: Polished Driftwood Icon	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249479	Formula: Enchant Weapon - Insight	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249480	Formula: Enchant Weapon - Recovery	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249481	Formula: Enchant Weapon - Revelation	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249482	Formula: Glimmering Staff	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
249483	Formula: Soulstaff	vendor	Alynsia	Three Corners, Redridge Mountains	11.2	71.5	alliance
