recipeItemId	itemName	sourceKind	npcName	zone	x	y	faction
159	Refreshing Spring Water	vendor	Aza'bek	The Barrens	49.7	29.4	horde
2678	Mild Spices	vendor	Aza'bek	The Barrens	49.7	29.4	horde
2692	Hot Spices	vendor	Aza'bek	The Barrens	49.7	29.4	horde
3713	Soothing Spices	vendor	Aza'bek	The Barrens	49.7	29.4	horde
4470	Simple Wood	vendor	Aza'bek	The Barrens	49.7	29.4	horde
4471	Flint and Tinder	vendor	Aza'bek	The Barrens	49.7	29.4	horde
4536	Shiny Red Apple	vendor	Aza'bek	The Barrens	49.7	29.4	horde
10284	Simple Flour	vendor	Aza'bek	The Barrens	49.7	29.4	horde
11291	Star Wood	vendor	Aza'bek	The Barrens	49.7	29.4	horde
21099	Recipe: Smoked Sagefish	vendor	Aza'bek	The Barrens	49.7	29.4	horde
21219	Recipe: Sagefish Delight	vendor	Aza'bek	The Barrens	49.7	29.4	horde
249476	Formula: Mystic Mushroom	vendor	Beneris	The Barrens	49.7	29.8	horde
249477	Formula: Tenets of the Silver Hand	vendor	Beneris	The Barrens	49.7	29.8	horde
249478	Formula: Polished Driftwood Icon	vendor	Beneris	The Barrens	49.7	29.8	horde
249479	Formula: Enchant Weapon - Insight	vendor	Beneris	The Barrens	49.7	29.8	horde
249480	Formula: Enchant Weapon - Recovery	vendor	Beneris	The Barrens	49.7	29.8	horde
249481	Formula: Enchant Weapon - Revelation	vendor	Beneris	The Barrens	49.7	29.8	horde
249482	Formula: Glimmering Staff	vendor	Beneris	The Barrens	49.7	29.8	horde
249483	Formula: Soulstaff	vendor	Beneris	The Barrens	49.7	29.8	horde
249484	Formula: Orb of Mystic Insight	vendor	Beneris	The Barrens	49.7	29.8	horde
249485	Formula: Orb of Souls	vendor	Beneris	The Barrens	49.7	29.8	horde
249493	Formula: Talons of Wrath	vendor	Beneris	The Barrens	49.7	29.8	horde
249494	Formula: Libram of Invocation	vendor	Beneris	The Barrens	49.7	29.8	horde
249495	Formula: Totem of Ancestral Protection	vendor	Beneris	The Barrens	49.7	29.8	horde
249496	Formula: Enchant Necklace - Strength	vendor	Beneris	The Barrens	49.7	29.8	horde
249502	Formula: Enchant Necklace - Spell Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249503	Formula: Enchant Necklace - Healing Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249504	Formula: Enchant Necklace - Agility	vendor	Beneris	The Barrens	49.7	29.8	horde
249505	Formula: Enchant Necklace - Deflection	vendor	Beneris	The Barrens	49.7	29.8	horde
249506	Formula: Radiant Staff	vendor	Beneris	The Barrens	49.7	29.8	horde
249507	Formula: Dreamstaff	vendor	Beneris	The Barrens	49.7	29.8	horde
249508	Formula: Truesilver Conduit	vendor	Beneris	The Barrens	49.7	29.8	horde
249509	Formula: Twisting Essence Jar	vendor	Beneris	The Barrens	49.7	29.8	horde
249510	Formula: Enchant Chest - Absorption	vendor	Beneris	The Barrens	49.7	29.8	horde
249525	Formula: Enchant 2H Weapon - Mighty Spell Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249526	Formula: Enchant 2H Weapon - Mighty Healing Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249529	Formula: Idol of the Dream	vendor	Beneris	The Barrens	49.7	29.8	horde
249530	Formula: Libram of Holy Alacrity	vendor	Beneris	The Barrens	49.7	29.8	horde
249532	Formula: Totem of Thunder	vendor	Beneris	The Barrens	49.7	29.8	horde
249534	Formula: Enchant Gloves - Arcane Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249535	Formula: Enchant Gloves - Natural Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249536	Formula: Enchant Gloves - Holy Power	vendor	Beneris	The Barrens	49.7	29.8	horde
249537	Formula: Brilliant Wand	vendor	Beneris	The Barrens	49.7	29.8	horde
249538	Formula: Enchant Bracer - Superior Intellect	vendor	Beneris	The Barrens	49.7	29.8	horde
249539	Formula: Enchant Bracer - Superior Deflection	vendor	Beneris	The Barrens	49.7	29.8	horde
249885	Recipe: Venomous Smoothie	vendor	Aza'bek	The Barrens	49.7	29.4	horde
249886	Recipe: Slimy Smoothie	vendor	Aza'bek	The Barrens	49.7	29.4	horde
249887	Recipe: Mrrggl Smrrthle	vendor	Aza'bek	The Barrens	49.7	29.4	horde
249888	Recipe: Calcified Smoothie	vendor	Aza'bek	The Barrens	49.7	29.4	horde
249889	Recipe: Spicy Smoothie	vendor	Aza'bek	The Barrens	49.7	29.4	horde
249890	Recipe: Wicked Smoothie	vendor	Aza'bek	The Barrens	49.7	29.4	horde
250364	Recipe: Elixir of Cunning	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250365	Recipe: Elixir of the Phalanx	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250367	Recipe: Lesser Cleric's Elixir	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250369	Recipe: Greater Cleric's Elixir	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250371	Recipe: Elixir of Greater Fortitude	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250372	Recipe: Elixir of Wicked Regeneration	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250373	Recipe: Elixir of the Owl	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250374	Recipe: Elixir of Sages	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250376	Recipe: Lesser Mageblood Elixir	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250377	Recipe: Greater Mageblood Elixir	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250378	Recipe: Lesser Arcane Elixir	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250379	Recipe: Elixir of Nature Power	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250381	Recipe: Elixir of Lesser Spirit	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250383	Recipe: Elixir of Greater Spirit	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250384	Recipe: Elixir of the Whale	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250386	Recipe: Elixir of Ferocity	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250387	Recipe: Elixir of the Grizzly	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250388	Recipe: Elixir of Lesser Intellect	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250978	Recipe: Spellblasting Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250981	Recipe: Major Spellblasting Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250984	Recipe: Frenzy Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250987	Recipe: Major Frenzy Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250990	Recipe: Mender's Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250993	Recipe: Major Mender's Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250994	Recipe: Potion of Venomous Blood	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250995	Recipe: Caustic Smog Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250996	Recipe: Disorienting Smog Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250997	Recipe: Dragonfire Potion	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
250998	Recipe: Potion of Elemental Siphoning	vendor	Apothecary Durelle	The Barrens	49.9	29.6	horde
251355	Plans: Veteran's Boots	vendor	Gor'mak	The Barrens	49.8	29.7	horde
251356	Plans: Guard's Boots	vendor	Gor'mak	The Barrens	49.8	29.7	horde
251357	Plans: Protector's Boots	vendor	Gor'mak	The Barrens	49.8	29.7	horde
251358	Plans: Acolyte's Boots	vendor	Gor'mak	The Barrens	49.8	29.7	horde
251359	Plans: Crusader's Boots	vendor	Gor'mak	The Barrens	49.8	29.7	horde
251360	Plans: Veteran's Gloves	vendor	Gor'mak	The Barrens	49.8	29.7	horde
251361	Plans: Guard's Gloves	vendor	Gor'mak	The Barrens	49.8	29.7	horde
