recipeItemId	itemName	sourceKind	npcName	zone	x	y	faction
159	Refreshing Spring Water	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
159	Refreshing Spring Water	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
2320	Coarse Thread	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
2320	Coarse Thread	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
2321	Fine Thread	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
2321	Fine Thread	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
2324	Bleach	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
2324	Bleach	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
2325	Black Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
2325	Black Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
2604	Red Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
2604	Red Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
2605	Green Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
2605	Green Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
2678	Mild Spices	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
2678	Mild Spices	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
2692	Hot Spices	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
2692	Hot Spices	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
2880	Weak Flux	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
2880	Weak Flux	vendor	Sumi	Valley of Honor, Orgrimmar	82.6	24.0	horde
2901	Mining Pick	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
2901	Mining Pick	vendor	Sumi	Valley of Honor, Orgrimmar	82.6	24.0	horde
3371	Empty Vial	vendor	Kor'geld	The Drag, Orgrimmar	56.1	34.1	horde
3372	Leaded Vial	vendor	Kor'geld	The Drag, Orgrimmar	56.1	34.1	horde
3466	Strong Flux	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
3466	Strong Flux	vendor	Sumi	Valley of Honor, Orgrimmar	82.6	24.0	horde
3713	Soothing Spices	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
3713	Soothing Spices	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
3857	Coal	vendor	Sumi	Valley of Honor, Orgrimmar	82.6	24.0	horde
4289	Salt	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
4291	Silken Thread	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
4291	Silken Thread	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
4340	Gray Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
4340	Gray Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
4341	Yellow Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
4341	Yellow Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
4342	Purple Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
4342	Purple Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
4357	Rough Blasting Powder	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
4399	Wooden Stock	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
4400	Heavy Stock	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
4470	Simple Wood	vendor	Kithas	The Drag, Orgrimmar	53.8	38.1	horde
4470	Simple Wood	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
4470	Simple Wood	vendor	Nata Dawnstrider	Thunder Bluff	44.8	38.8	horde
4470	Simple Wood	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
4471	Flint and Tinder	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
4471	Flint and Tinder	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
4536	Shiny Red Apple	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
4536	Shiny Red Apple	vendor	Xen'to	The Drag, Orgrimmar	57.6	53.3	horde
5642	Recipe: Free Action Potion	vendor	Kor'geld	The Drag, Orgrimmar	56.1	34.1	horde
5771	Pattern: Red Linen Bag	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
5772	Pattern: Red Woolen Bag	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
5772	Pattern: Red Woolen Bag	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
5956	Blacksmith Hammer	vendor	Sovik	Valley of Honor, Orgrimmar	75.6	25.3	horde
5956	Blacksmith Hammer	vendor	Sumi	Valley of Honor, Orgrimmar	82.6	24.0	horde
6217	Copper Rod	vendor	Kithas	The Drag, Orgrimmar	53.8	38.1	horde
6217	Copper Rod	vendor	Nata Dawnstrider	Thunder Bluff	44.8	38.8	horde
6256	Fishing Pole	vendor	Sewa Mistrunner	Thunder Bluff	55.8	47.2	horde
6260	Blue Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
6260	Blue Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
6261	Orange Dye	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
6261	Orange Dye	vendor	Mahu	Thunder Bluff	43.8	44.9	horde
6270	Pattern: Blue Linen Vest	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
6274	Pattern: Blue Overalls	vendor	Borya	The Drag, Orgrimmar	63.2	51.2	horde
6325	Recipe: Brilliant Smallfish	vendor	Sewa Mistrunner	Thunder Bluff	55.8	47.2	horde
6328	Recipe: Longjaw Mud Snapper	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
6330	Recipe: Bristle Whisker Catfish	vendor	Naal Mistrunner	Thunder Bluff	51.1	52.5	horde
6330	Recipe: Bristle Whisker Catfish	vendor	Sewa Mistrunner	Thunder Bluff	55.8	47.2	horde
