spellId	requiredSkill
2149	1
2152	1
2153	30
2158	90
2159	85
2160	50
2161	65
2162	65
2163	60
2164	75
2165	75
2166	125
2167	100
2168	110
2169	100
2329	1
2330	1
2331	30
2332	40
2333	140
2334	50
2335	60
2336	70
2337	80
2385	10
2386	65
2387	1
2389	40
2392	40
2393	1
2394	40
2395	70
2396	70
2397	60
2399	85
2401	95
2402	75
2403	105
2406	100
2538	1
2539	30
2540	1
2541	65
2542	50
2543	75
2544	75
2545	85
2546	110
2547	100
2548	110
2549	100
2657	1
2658	75
2659	65
2660	1
2661	55
2662	40
2663	1
2664	65
2665	75
2666	80
2667	80
2668	95
2670	105
2671	100
2672	120
2673	130
2674	125
2675	135
2737	30
2738	35
2739	40
2740	75
2741	85
2742	95
2795	10
2881	1
2963	1
2964	75
3115	1
3116	65
3117	125
3170	15
3171	90
3172	110
3173	120
3174	120
3175	250
3176	125
3177	130
3188	150
3230	50
3292	95
3293	35
3294	70
3295	125
3296	130
3297	145
3304	65
3307	125
3308	155
3319	20
3320	25
3321	35
3323	40
3324	45
3325	60
3326	75
3328	110
3330	125
3331	130
3333	135
3334	145
3336	150
3337	125
3370	80
3371	60
3372	90
3373	120
3376	130
3377	110
3397	110
3398	125
3399	150
3400	175
3447	110
3448	165
3449	165
3450	175
3451	180
3452	160
3453	195
3454	200
3491	105
3492	160
3493	175
3494	155
3495	170
3496	180
3497	200
3498	185
3500	200
3501	165
3502	170
3503	190
3504	160
3505	175
3506	155
3507	170
3508	180
3511	195
3513	185
3515	200
3569	165
3753	25
3755	45
3756	55
3757	80
3758	95
3759	75
3760	150
3761	85
3762	100
3763	80
3764	145
3765	120
3766	125
3767	120
3768	130
3769	140
3770	135
3771	150
3772	155
3773	175
3774	160
3775	170
3776	180
3777	195
3778	185
3779	200
3780	150
3813	150
3816	35
3817	100
3818	150
3839	125
3840	35
3841	60
3842	70
3843	85
3844	100
3845	80
3847	95
3848	110
3849	120
3850	110
3851	125
3852	130
3854	145
3855	125
3856	140
3857	165
3858	170
3859	150
3860	175
3861	185
3862	200
3863	180
3864	200
3865	175
3866	110
3868	125
3869	135
3870	155
3871	170
3872	185
3873	200
3914	30
3915	1
3918	1
3919	1
3920	1
3922	30
3923	30
3924	50
3925	50
3926	65
3928	75
3929	75
3930	75
3931	75
3932	85
3933	100
3934	100
3936	105
3937	105
3938	105
3939	120
3940	120
3941	120
3942	125
3944	125
3945	125
3946	125
3947	125
3949	130
3950	140
3952	140
3953	145
3954	145
3955	150
3956	150
3957	155
3958	160
3959	160
3960	165
3961	170
3962	175
3963	175
3965	185
3966	185
3967	190
3968	195
3969	200
3971	200
3972	200
3973	90
3977	60
3978	110
3979	180
4094	175
4096	165
4097	165
4508	50
4942	215
5244	40
6412	10
6413	20
6414	35
6415	50
6416	50
6417	90
6418	100
6419	110
6458	135
6499	50
6500	125
6501	90
6517	110
6518	140
6521	90
6617	60
6618	175
6619	125
6624	150
6661	190
6686	70
6688	115
6690	135
6692	150
6693	175
6695	185
6702	90
6703	95
6704	170
6705	190
7126	1
7133	105
7135	115
7147	160
7149	170
7151	175
7153	125
7156	190
7179	90
7181	155
7183	1
7213	175
7221	150
7222	165
7223	185
7224	190
7255	100
7256	135
7257	165
7258	190
7259	190
7408	65
7418	1
7420	15
7421	1
7426	40
7428	1
7430	50
7443	20
7454	45
7457	50
7623	30
7624	30
7629	55
7630	55
7633	70
7636	90
7639	100
7643	115
7745	100
7748	60
7751	1
7752	1
7753	50
7754	50
7755	100
7766	60
7771	90
7776	80
7779	80
7782	80
7786	90
7788	90
7793	100
7795	100
7817	95
7818	100
7827	50
7828	175
7836	80
7837	130
7841	100
7845	140
7857	120
7859	120
7861	125
7863	125
7867	125
7892	120
7893	120
7953	90
7954	105
7955	115
8238	85
