spellId	sourceKind	npcName	zone	faction	bossDrop	worldDrop	trainerTitle
2149	trainer						
2152	trainer						
2153	trainer						
2158	worldDrop					true	
2159	trainer						
2160	trainer						
2161	trainer						
2162	trainer						
2163	worldDrop					true	
2164	worldDrop					true	
2165	trainer						
2166	trainer						
2167	trainer						
2168	trainer						
2169	worldDrop					true	
2329	trainer						
2330	trainer						
2331	trainer						
2332	trainer						
2333	worldDrop					true	
2334	trainer						
2335	worldDrop					true	
2337	trainer						
2385	trainer						
2386	trainer						
2387	trainer						
2389	worldDrop					true	
2392	trainer						
2393	trainer						
2394	trainer						
2395	trainer						
2396	trainer						
2397	trainer						
2399	trainer						
2401	trainer						
2402	trainer						
2403	worldDrop					true	
2406	trainer						
2538	trainer						
2539	trainer						
2540	trainer						
2541	trainer						
2542	vendor	Kendor Kabonka	Stormwind City	alliance			
2543	vendor	Kendor Kabonka	Stormwind City	alliance			
2544	trainer						
2545	vendor	Kendor Kabonka	Stormwind City	alliance			
2546	trainer						
2547	vendor	Kendor Kabonka	Stormwind City	alliance			
2548	vendor	Kendor Kabonka	Stormwind City	alliance			
2549	vendor	Kendor Kabonka	Stormwind City	alliance			
2657	trainer						
2658	trainer						
2659	trainer						
2660	trainer						
2661	trainer						
2662	trainer						
2663	trainer						
2664	trainer						
2665	trainer						
2666	trainer						
2667	worldDrop					true	
2668	trainer						
2670	trainer						
2672	trainer						
2673	worldDrop					true	
2674	trainer						
2675	trainer						
2737	trainer						
2738	trainer						
2739	trainer						
2740	trainer						
2741	trainer						
2742	trainer						
2795	vendor	Kendor Kabonka	Stormwind City	alliance			
2881	trainer						
2963	trainer						
2964	trainer						
3115	trainer						
3116	trainer						
3117	trainer						
3170	trainer						
3171	trainer						
3172	worldDrop					true	
3173	trainer						
3174	worldDrop					true	
3175	worldDrop					true	
3176	trainer						
3177	trainer						
3188	worldDrop					true	
3230	worldDrop					true	
3292	trainer						
3293	trainer						
3294	trainer						
3295	worldDrop					true	
3296	trainer						
3297	worldDrop					true	
3304	trainer						
3307	trainer						
3308	trainer						
3319	trainer						
3320	trainer						
3321	worldDrop					true	
3323	trainer						
3324	trainer						
3325	worldDrop					true	
3326	trainer						
3328	trainer						
3330	worldDrop					true	
3331	trainer						
3333	trainer						
3334	worldDrop					true	
3336	worldDrop					true	
3337	trainer						
3370	vendor	Kendor Kabonka	Stormwind City	alliance			
3371	vendor	Kendor Kabonka	Stormwind City	alliance			
3372	vendor	Kendor Kabonka	Stormwind City	alliance			
3373	vendor	Kendor Kabonka	Stormwind City	alliance			
3376	vendor	Nerrist | Keena | Kendor Kabonka	Stranglethorn Vale | Arathi Highlands | Stormwind City	horde | horde | alliance			
3377	vendor	Kendor Kabonka	Stormwind City	alliance			
3397	vendor	Ulthaan | Super-Seller 680	Ashenvale | Desolace	alliance | 			
3398	vendor	Zargh | Vendor-Tron 1000	The Barrens | Desolace	horde | 			
3399	quest		Hillsbrad Foothills	alliance			
3400	quest		Hillsbrad Foothills	alliance			
3447	trainer						
3448	trainer						
3449	vendor	Bliztik | Montarr	Duskwood | Thousand Needles	 | horde			
3450	trainer						
3451	worldDrop					true	
3452	trainer						
3453	worldDrop					true	
3454	vendor	Bro'kin	Alterac Mountains				
3491	trainer						
3492	vendor	Jutak | Kaita Deepforge	Stranglethorn Vale | Stormwind City	 | alliance			
3493	worldDrop					true	
3494	vendor	Jazzrik | Muuran | Jannos Ironwill | High Admiral \"Shelly\" Jorrik	Badlands | Desolace | Arathi Highlands | Dun Morogh	horde | horde | alliance | 			
3495	worldDrop					true	
3496	vendor	Zarena Cromwind	Stranglethorn Vale				
3497	worldDrop					true	
3498	vendor	Jaquilina Dramet | Vharr	Stranglethorn Vale | Stranglethorn Vale	 | horde			
3500	worldDrop					true	
3501	trainer						
3502	trainer						
3503	vendor	Krinkle Goodsteel	Tanaris				
3504	worldDrop					true	
3505	worldDrop					true	
3506	trainer						
3507	worldDrop					true	
3508	trainer						
3511	worldDrop					true	
3513	worldDrop					true	
3515	worldDrop					true	
3569	trainer						
3753	trainer						
3755	trainer						
3756	trainer						
3757	trainer						
3758	worldDrop					true	
3759	trainer						
3760	trainer						
3761	trainer						
3762	worldDrop					true	
3763	trainer						
3764	trainer						
3765	worldDrop					true	
3766	trainer						
3767	worldDrop					true	
3768	trainer						
3769	worldDrop					true	
3770	trainer						
3771	worldDrop					true	
3772	vendor	Wenna Silkbeard | George Candarte	Wetlands | Hillsbrad Foothills	alliance | horde			
3773	worldDrop					true	
3774	trainer						
3775	worldDrop					true	
3776	trainer						
3777	worldDrop					true	
3778	vendor	Rikqiz	Stranglethorn Vale				
3779	worldDrop					true	
3780	trainer						
3813	trainer						
3816	trainer						
3817	trainer						
3818	trainer						
3839	trainer						
3840	trainer						
3841	trainer						
3842	trainer						
3843	trainer						
3844	worldDrop					true	
3845	trainer						
3847	worldDrop					true	
3848	trainer						
3849	worldDrop					true	
3850	trainer						
3851	worldDrop					true	
3852	trainer						
3854	vendor	Wenna Silkbeard | Kireena	Wetlands | Desolace	alliance | horde			
3855	trainer						
3856	worldDrop					true	
3857	vendor	Xizk Goodstitch	Stranglethorn Vale				
3858	worldDrop					true	
3859	trainer						
3860	worldDrop					true	
3861	trainer						
3862	vendor	Micha Yance | Ghok'kah	Hillsbrad Foothills | Dustwallow Marsh	alliance | horde			
3863	worldDrop					true	
3864	worldDrop					true	
3865	trainer						
3866	trainer						
3868	worldDrop					true	
3869	vendor	Danielle Zipstitch	Duskwood	alliance			
3870	vendor	Mallen Swain | Sheri Zipstitch	Hillsbrad Foothills | Duskwood	horde | alliance			
3871	trainer						
3872	worldDrop					true	
3873	vendor	Narkk	Stranglethorn Vale				
3914	trainer						
3915	trainer						
3918	trainer						
3919	trainer						
3920	trainer						
3922	trainer						
3923	trainer						
3924	trainer						
3925	trainer						
3926	trainer						
3928	worldDrop					true	
3929	trainer						
3930	trainer						
3931	trainer						
3932	trainer						
3933	worldDrop					true	
3934	trainer						
3936	trainer						
3937	trainer						
3938	trainer						
3939	vendor	Fradd Swiftgear | Jinky Twizzlefixxit	Wetlands | Thousand Needles	alliance | 			
3940	worldDrop					true	
3941	trainer						
3942	trainer						
3944	drop	Mekgineer Thermaplugg	Gnomeregan				
3945	trainer						
3946	trainer						
3947	trainer						
3949	trainer						
3950	trainer						
3952	vendor	Gagsprocket | Namdo Bizzfizzle | Fradd Swiftgear	The Barrens | Gnomeregan | Wetlands	 | alliance | alliance			
3953	trainer						
3954	worldDrop					true	
3955	trainer						
3956	trainer						
3957	vendor	Rizz Loosebolt	Alterac Mountains				
3958	trainer						
3959	drop	Mekgineer Thermaplugg	Gnomeregan				
3960	worldDrop					true	
3961	trainer						
3962	trainer						
3963	trainer						
3965	trainer						
3966	worldDrop					true	
3967	trainer						
3968	worldDrop					true	
3969	vendor	Gnaz Blunderflame	Stranglethorn Vale				
3971	vendor	Zan Shivsproket	Alterac Mountains				
3972	worldDrop					true	
3973	trainer						
3977	trainer						
3978	trainer						
3979	vendor	Mazk Snipeshot	Stranglethorn Vale				
4094	vendor	Narj Deepslice | Super-Seller 680	Arathi Highlands | Desolace	alliance | 			
4096	vendor	Tunkk	Arathi Highlands	horde			
4097	vendor	Androd Fadran	Arathi Highlands	alliance			
4508	quest		Silverpine Forest	horde			
4942	quest		Badlands				
5244	quest		Thunder Bluff	horde			
6412	quest		Teldrassil	alliance			
6413	vendor	Grimtak	Durotar	horde			
6414	vendor	Wunna Darkmane	Mulgore	horde			
6415	vendor	Laird	Darkshore	alliance			
6416	vendor	Tari'qa	The Barrens	horde			
6417	vendor	Prospector Khazgorm	The Barrens	alliance			
6418	vendor	Tari'qa	The Barrens	horde			
6419	vendor	Ulthaan | Vendor-Tron 1000	Ashenvale | Desolace	alliance | 			
6458	trainer						
6499	trainer						
6500	trainer						
6501	vendor	Kriggon Talsone | Heldan Galesong	Westfall | Darkshore	alliance | alliance			
6517	trainer						
6518	worldDrop					true	
6521	trainer						
6617	vendor	Xandar Goodbeard | Hagrus | Defias Profiteer | Ranik	Loch Modan | Orgrimmar | Westfall | The Barrens	alliance | horde |  | 			
6618	vendor	Hagrus | Ulthir	Orgrimmar | Darnassus	horde | alliance			
6624	vendor	Soolie Berryfizz | Ulthir | Kor'geld	Ironforge | Darnassus | Orgrimmar	alliance | alliance | horde			
6661	trainer						
6686	vendor	Rathis Tomber | Gina MacGregor | Mahu | Valdaron	Ghostlands | Westfall | Thunder Bluff | Darkshore	horde | alliance | horde | alliance			
6688	vendor	Amy Davenport | Jennabink Powerseam | Rann Flamespinner | Mahu	Redridge Mountains | Wetlands | Loch Modan | Thunder Bluff	alliance | alliance | alliance | horde			
6690	trainer						
6692	drop		Thousand Needles | Duskwood | Darkshore				
6693	worldDrop					true	
6695	drop		Dustwallow Marsh | Hillsbrad Foothills | Alterac Mountains				
6702	vendor	Gina MacGregor | Andrew Hilbert | Mavralyn	Westfall | Silverpine Forest | Darkshore	alliance | horde | alliance			
6703	vendor	Gina MacGregor | Andrew Hilbert | Mavralyn	Westfall | Silverpine Forest | Darkshore	alliance | horde | alliance			
6704	vendor	Micha Yance | Christoph Jeffcoat | Blixrez Goodstitch	Hillsbrad Foothills | Hillsbrad Foothills | Stranglethorn Vale	alliance | horde | 			
6705	vendor	Helenia Olden	Dustwallow Marsh	alliance			
7126	trainer						
7133	worldDrop					true	
7135	trainer						
7147	trainer						
7149	vendor	Lardan | Hammon Karwn | Jandia | Keena	Ashenvale | Arathi Highlands | Thousand Needles | Arathi Highlands	alliance | alliance | horde | horde			
7151	trainer						
7153	worldDrop					true	
7156	trainer						
7179	trainer						
7181	trainer						
7183	trainer						
7213	vendor	Kelsey Yance	Stranglethorn Vale				
7221	worldDrop					true	
7222	worldDrop					true	
7223	trainer						
7224	worldDrop					true	
7255	vendor	Xandar Goodbeard | Kzixx | Hula'mahi	Loch Modan | Duskwood | The Barrens	alliance |  | horde			
7256	vendor	Christoph Jeffcoat | Harklan Moongrove	Hillsbrad Foothills | Ashenvale	horde | alliance			
7257	vendor	Jeeda | Nandar Branson	Stonetalon Mountains | Hillsbrad Foothills	horde | alliance			
7258	vendor	Drovnar Strongbrew | Glyx Brewright	Arathi Highlands | Stranglethorn Vale	alliance | 			
7259	vendor	Logannas | Bronk | Glyx Brewright | Alchemist Pestlezugg	Feralas | Feralas | Stranglethorn Vale | Tanaris	alliance | horde |  | 			
7408	trainer						
7418	trainer						
7420	trainer						
7421	trainer						
7426	trainer						
7428	trainer						
7430	trainer						
7443	worldDrop					true	
7454	trainer						
7457	trainer						
7623	trainer						
7624	trainer						
7629	worldDrop					true	
7630	vendor	Tharynn Bouden | Borya | Valdaron | Wrahk	Elwynn Forest | Orgrimmar | Darkshore | The Barrens	alliance | horde | alliance | horde			
7633	vendor	Elynna | Ranik | Andrew Hilbert | Wrahk	Darnassus | The Barrens | Silverpine Forest | The Barrens	alliance |  | horde | horde			
7639	vendor	Gina MacGregor | Alexandra Bolero | Mallen Swain | Borya	Westfall | Stormwind City | Hillsbrad Foothills | Orgrimmar	alliance | alliance | horde | horde			
7643	vendor	Rann Flamespinner | Ranik | Jennabink Powerseam | Sheri Zipstitch	Loch Modan | The Barrens | Wetlands | Duskwood	alliance |  | alliance | alliance			
7745	trainer						
7748	trainer						
7751	vendor	Harn Longcast | Gretta Ganter | Catherine Leland | Martine Tramblay	Mulgore | Dun Morogh | Stormwind City | Tirisfal Glades	horde | alliance | alliance | horde			
7752	vendor	Tansy Puddlefizz | Kriggon Talsone | Martine Tramblay | Zansoa	Ironforge | Westfall | Tirisfal Glades | Durotar	alliance | alliance | horde | horde			
7753	vendor	Killian Sanatha | Khara Deepwater | Lizbeth Cromwell | Tharynn Bouden	Silverpine Forest | Loch Modan | Undercity | Elwynn Forest	horde | alliance | horde | alliance			
7754	vendor	Khara Deepwater	Loch Modan	alliance			
7755	vendor	Kilxx | Ronald Burch | Lindea Rabonne | Naal Mistrunner	The Barrens | Undercity | Hillsbrad Foothills | Thunder Bluff	 | horde | alliance | horde			
7766	worldDrop					true	
7771	trainer						
7776	vendor	Kithas | Lilly	Orgrimmar | Silverpine Forest	horde | horde			
7779	trainer						
7782	worldDrop					true	
7786	worldDrop					true	
7788	trainer						
7793	vendor	Nata Dawnstrider | Tilli Thistlefuzz | Kithas | Leo Sarn	Thunder Bluff | Ironforge | Orgrimmar | Silverpine Forest	horde | alliance | horde | horde			
7795	trainer						
7817	trainer						
7818	trainer						
7827	vendor	Kriggon Talsone | Heldan Galesong | Killian Sanatha | Catherine Leland	Westfall | Darkshore | Silverpine Forest | Stormwind City	alliance | alliance | horde | alliance			
7828	vendor	Heldan Galesong | Kelsey Yance | Shankys | Wik'Tar	Darkshore | Stranglethorn Vale | Orgrimmar | Ashenvale	alliance |  | horde | horde			
7836	trainer						
7837	trainer						
7841	trainer						
7845	trainer						
7857	trainer						
7859	worldDrop					true	
7861	trainer						
7863	trainer						
7867	vendor	Nata Dawnstrider | Zixil	Thunder Bluff | Hillsbrad Foothills	horde | 			
7892	worldDrop					true	
7893	worldDrop					true	
7953	vendor	Kalldan Felmoon	The Barrens				
7954	vendor	Kalldan Felmoon	The Barrens				
7955	quest		The Barrens				
8238	worldDrop					true	
8240	worldDrop					true	
8243	quest		Badlands				
8322	quest		Darnassus	alliance			
8334	trainer						
8339	worldDrop					true	
8367	quest		Ironforge	alliance			
8465	trainer						
8467	trainer						
8483	trainer						
8489	trainer						
8604	trainer						
8607	vendor	Drac Roughcut | Andrew Hilbert	Loch Modan | Silverpine Forest	alliance | horde			
8758	trainer						
8760	trainer						
8762	trainer						
8764	trainer						
8766	trainer						
8768	trainer						
8770	trainer						
8772	trainer						
8774	trainer						
8776	trainer						
8780	worldDrop					true	
8782	worldDrop					true	
8784	worldDrop					true	
8786	vendor	Jun'ha | Brienna Starglow	Arathi Highlands | Feralas	horde | alliance			
8789	vendor	Xizk Goodstitch	Stranglethorn Vale				
8791	trainer						
8793	worldDrop					true	
8795	worldDrop					true	
